,Unnamed: 0,From Date,PM2.5 (ug/m3),PM10 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),NO2 (ug/m3)
14528,16785,2021-01-01 02:00:00,53.64,94.12,14.14,0.8,2.29,11.55
14529,16786,2021-01-01 03:00:00,47.29,84.74,13.6,0.81,2.25,12.03
14530,16787,2021-01-01 04:00:00,46.46,74.6,11.74,0.8,2.28,12.1
14531,16788,2021-01-01 05:00:00,39.32,66.39,11.99,0.81,2.3,12.45
14532,16789,2021-01-01 06:00:00,39.66,64.98,12.2,0.81,2.3,12.4
14533,16790,2021-01-01 07:00:00,37.37,63.31,12.31,0.82,3.42,13.99
14534,16791,2021-01-01 08:00:00,40.38,65.92,12.92,0.83,9.36,13.49
14535,16792,2021-01-01 09:00:00,41.96,66.86,15.33,0.82,17.57,12.47
14536,16793,2021-01-01 10:00:00,45.87,78.74,15.35,0.81,25.33,13.15
14537,16794,2021-01-01 11:00:00,44.2,79.22,14.76,0.81,32.33,13.16
14538,16795,2021-01-01 12:00:00,48.47,90.56,14.06,0.81,35.95,14.15
14539,16796,2021-01-01 13:00:00,49.17,92.64,17.36,0.82,38.32,14.74
14540,16797,2021-01-01 14:00:00,52.58,91.15,16.26,0.82,20.04,16.8
14541,16798,2021-01-01 15:00:00,50.44,87.68,15.34,0.83,33.27,17.48
14542,16799,2021-01-01 16:00:00,50.55,86.21,11.96,0.83,28.68,21.52
14543,16800,2021-01-01 17:00:00,51.15,91.74,15.0,0.88,19.27,28.97
14544,16801,2021-01-01 18:00:00,56.37,106.67,32.78,1.2,11.26,58.74
14545,16802,2021-01-01 19:00:00,62.61,136.52,22.34,1.01,5.32,42.66
14546,16803,2021-01-01 20:00:00,65.32,148.3,15.6,0.9,2.69,26.05
14547,16804,2021-01-01 21:00:00,65.88,141.12,15.5,0.89,2.23,23.92
14548,16805,2021-01-01 22:00:00,69.5,130.56,14.04,0.86,2.29,19.38
14549,16806,2021-01-01 23:00:00,61.36,117.99,13.28,0.85,2.29,17.58
14550,16807,2021-01-02 00:00:00,61.33,111.58,12.73,0.84,2.3,15.05
14551,16808,2021-01-02 01:00:00,56.16,105.17,13.24,0.84,2.31,17.02
14552,16809,2021-01-02 02:00:00,52.27,101.87,13.76,0.86,2.3,17.99
14553,16810,2021-01-02 03:00:00,55.48,99.57,13.99,0.85,2.28,18.48
14554,16811,2021-01-02 04:00:00,53.34,97.55,13.94,0.85,2.33,16.18
14555,16812,2021-01-02 05:00:00,56.08,100.96,14.63,0.85,2.3,17.07
14556,16813,2021-01-02 06:00:00,60.84,101.09,13.33,0.85,2.27,15.99
14557,16814,2021-01-02 07:00:00,55.86,98.97,14.29,0.88,3.15,20.54
14558,16815,2021-01-02 08:00:00,57.25,101.51,14.88,0.92,7.91,23.63
14559,16816,2021-01-02 09:00:00,59.49,102.03,16.87,0.94,14.2,25.34
14560,16817,2021-01-02 10:00:00,59.93,121.59,17.23,0.95,23.64,31.22
14561,16818,2021-01-02 11:00:00,63.34,143.01,17.31,0.89,31.62,26.46
14562,16819,2021-01-02 12:00:00,66.38,144.12,13.66,0.84,38.32,22.54
14563,16820,2021-01-02 13:00:00,61.49,114.23,18.97,0.84,38.29,23.01
14564,16821,2021-01-02 14:00:00,58.28,108.03,19.21,0.84,41.38,21.76
14565,16822,2021-01-02 15:00:00,54.76,104.24,18.47,0.82,37.58,21.46
14566,16823,2021-01-02 16:00:00,46.9,95.53,14.79,0.82,28.91,24.43
14567,16824,2021-01-02 17:00:00,45.68,88.58,14.36,0.85,20.14,32.93
14568,16825,2021-01-02 18:00:00,44.42,88.34,17.7,0.97,12.32,47.92
14569,16826,2021-01-02 19:00:00,36.01,95.46,19.24,1.01,9.03,51.85
14570,16827,2021-01-02 20:00:00,41.81,106.79,18.57,1.04,3.05,45.55
14571,16828,2021-01-02 21:00:00,46.41,115.34,21.0,0.98,1.99,35.68
14572,16829,2021-01-02 22:00:00,60.55,124.5,16.59,0.87,1.34,27.17
14573,16830,2021-01-02 23:00:00,60.59,108.43,13.9,0.86,1.37,25.31
14574,16831,2021-01-03 00:00:00,58.2,104.62,12.86,0.85,1.38,22.99
14575,16832,2021-01-03 01:00:00,58.2,103.8,12.02,0.87,1.36,24.11
14576,16833,2021-01-03 02:00:00,57.45,103.4,11.57,0.87,1.38,20.83
14577,16834,2021-01-03 03:00:00,51.28,96.0,11.0,0.85,1.38,25.48
14578,16835,2021-01-03 04:00:00,51.64,89.82,10.38,0.84,1.4,29.0
14579,16836,2021-01-03 05:00:00,45.62,86.3,10.97,0.85,1.39,22.74
14580,16837,2021-01-03 06:00:00,47.79,88.31,10.92,0.85,1.38,24.87
14581,16838,2021-01-03 07:00:00,49.89,86.82,12.78,0.9,1.37,30.11
14582,16839,2021-01-03 08:00:00,55.5,89.95,15.3,0.96,3.12,32.72
14583,16840,2021-01-03 09:00:00,69.61,113.87,20.04,0.94,17.95,28.46
14584,16841,2021-01-03 10:00:00,74.19,132.09,19.21,0.9,25.93,24.38
14585,16842,2021-01-03 11:00:00,69.08,129.37,14.47,0.84,31.84,18.46
14586,16843,2021-01-03 12:00:00,61.46,118.52,12.0,0.82,40.28,16.37
14587,16844,2021-01-03 13:00:00,51.99,94.56,11.98,0.82,40.3,15.78
14588,16845,2021-01-03 14:00:00,45.3,85.15,17.32,0.83,40.29,17.68
14589,16846,2021-01-03 15:00:00,42.58,80.08,19.95,0.84,40.31,17.44
14590,16847,2021-01-03 16:00:00,41.95,82.21,16.65,0.83,34.33,16.99
14591,16848,2021-01-03 17:00:00,40.84,80.31,17.31,0.87,22.64,26.66
14592,16849,2021-01-03 18:00:00,40.95,86.79,15.34,0.93,14.05,41.24
14593,16850,2021-01-03 19:00:00,38.45,101.91,17.96,0.99,5.15,46.41
14594,16851,2021-01-03 20:00:00,44.86,116.21,15.55,0.91,2.29,27.39
14595,16852,2021-01-03 21:00:00,49.22,117.7,14.73,0.92,1.56,23.33
14596,16853,2021-01-03 22:00:00,55.89,119.13,14.94,0.92,0.92,20.04
14597,16854,2021-01-03 23:00:00,63.68,125.61,13.36,0.9,0.93,20.56
14598,16855,2021-01-04 00:00:00,78.64,127.83,12.32,0.91,0.92,20.17
14599,16856,2021-01-04 01:00:00,76.75,129.37,13.11,0.91,0.93,19.52
14600,16857,2021-01-04 02:00:00,80.03,129.88,13.5,0.92,0.93,18.11
14601,16858,2021-01-04 03:00:00,82.57,128.1,13.2,0.92,0.92,19.19
14602,16859,2021-01-04 04:00:00,85.88,134.34,12.5,0.93,0.92,19.21
14603,16860,2021-01-04 05:00:00,89.22,129.71,13.01,0.93,0.91,20.57
14604,16861,2021-01-04 06:00:00,100.16,134.19,13.34,0.95,0.9,26.31
14605,16862,2021-01-04 07:00:00,100.03,140.33,15.19,0.99,3.0,29.43
14606,16863,2021-01-04 08:00:00,99.47,142.81,16.23,1.05,7.32,31.35
14607,16864,2021-01-04 09:00:00,85.0,157.8,18.21,1.04,17.24,32.66
14608,16865,2021-01-04 10:00:00,87.16,176.45,14.76,0.9,29.55,21.78
14609,16866,2021-01-04 11:00:00,75.17,149.7,13.63,0.85,36.88,16.61
14610,16867,2021-01-04 12:00:00,65.84,124.89,12.86,0.83,42.27,15.48
14611,16868,2021-01-04 13:00:00,52.86,112.03,14.59,0.84,50.37,18.17
14612,16869,2021-01-04 14:00:00,48.75,97.02,24.07,0.85,51.31,23.16
14613,16870,2021-01-04 15:00:00,43.35,97.13,38.28,0.86,46.47,26.67
14614,16871,2021-01-04 16:00:00,43.47,98.76,44.82,0.89,31.53,32.8
14615,16872,2021-01-04 17:00:00,46.21,108.74,32.43,0.94,21.49,35.35
14616,16873,2021-01-04 18:00:00,46.69,129.51,22.55,1.03,12.32,50.43
14617,16874,2021-01-04 19:00:00,52.89,145.28,23.7,1.15,8.14,57.57
14618,16875,2021-01-04 20:00:00,54.4,155.01,21.51,1.2,3.83,57.92
14619,16876,2021-01-04 21:00:00,59.55,170.81,24.97,1.2,2.04,55.2
14620,16877,2021-01-04 22:00:00,64.75,170.98,19.79,1.0,1.26,35.12
14621,16878,2021-01-04 23:00:00,65.49,173.53,15.71,0.93,1.25,24.84
14622,16879,2021-01-05 00:00:00,66.35,156.02,12.24,0.91,1.3,19.68
14623,16880,2021-01-05 01:00:00,64.5,140.84,12.7,0.9,1.27,19.04
14624,16881,2021-01-05 02:00:00,65.07,134.36,12.09,0.89,1.26,18.62
14625,16882,2021-01-05 03:00:00,63.13,127.25,12.05,0.9,1.24,18.77
14626,16883,2021-01-05 04:00:00,60.86,117.2,11.48,0.88,1.28,16.84
14627,16884,2021-01-05 05:00:00,62.27,118.44,12.64,0.88,1.25,17.88
14628,16885,2021-01-05 06:00:00,63.05,117.24,12.61,0.89,1.25,19.02
14629,16886,2021-01-05 07:00:00,61.09,113.77,13.28,0.91,1.69,26.77
14630,16887,2021-01-05 08:00:00,64.4,114.19,14.64,0.97,6.07,29.34
14631,16888,2021-01-05 09:00:00,71.25,135.9,17.99,1.02,18.82,32.09
14632,16889,2021-01-05 10:00:00,77.96,163.56,17.87,1.01,28.58,34.09
14633,16890,2021-01-05 11:00:00,80.3,182.51,14.8,0.93,34.24,24.44
